state,crop_type,farm_size_ha,avg_rainfall_mm,avg_temperature_c,soil_ph,soil_type,fertilizer_kg_per_ha,pesticide_used,irrigation_used,seed_variety,yield_tonnes_per_ha
Jigawa,Sorghum,0.46,475.6,36.6,4.63,Clay,65.1,No,Yes,Local,1.6
Anambra,Sorghum,0.63,2322.8,25.5,6.26,Clay,95.1,No,No,Local,1.24
Lagos,Sorghum,2.2,1694.6,25.7,6.29,Clay,145.7,No,No,Local,0.94
Adamawa,Maize,2.43,1237.9,25.8,6.52,Clay,93.4,No,No,Local,2.36
Imo,Maize,1.12,1507.4,28.3,4.98,Loamy,101.2,No,Yes,Local,2.02
Abia,Rice,3.05,2265,27.1,6.5,Loamy,96.1,No,No,Local,2.42
Imo,Maize,1.72,1781.4,24.3,5.7,Loamy,145,No,No,Local,1.9
Anambra,Sorghum,2.23,1961.9,23.3,6.34,Loamy,86.6,Yes,No,Improved,1.19
Kwara,Maize,4.8,1480.9,31.3,5.74,Clay,105.7,No,No,Local,1.78
Katsina,Rice,0.41,380.9,31.1,5.58,Sandy,112.9,No,No,Improved,4.01
Ondo,Maize,2.06,1915.8,22.3,6.58,Loamy,178.5,No,No,Improved,2.16
Ogun,Rice,3.17,1522.8,29.7,6.22,Loamy,189.9,No,No,Improved,2.44
Akwa Ibom,Cassava,1.72,2020.7,25.5,6.75,Clay,83.7,No,Yes,Improved,12.04
Cross River,Sorghum,0.78,1607.7,29.3,5.32,Clay,145.1,No,No,Local,0.98
Ondo,Rice,0.5,1756,29.5,5.68,Clay,58.9,No,No,Improved,3.5
Adamawa,Cassava,5.94,1386,29.3,6.3,Loamy,97.3,No,No,Local,10.63
Delta,Maize,2.66,2099.4,29,5.37,Clay,104.2,No,Yes,Local,2.56
Borno,Sorghum,0.68,348.7,33.1,5.15,Clay,46.6,No,No,Local,1.25
Katsina,Rice,1.22,565.1,37.6,5.51,Sandy,119.7,No,Yes,Local,2.94
Kebbi,Rice,1.98,973.2,33.2,5.59,Clay,158.2,No,No,Local,2.56
Cross River,Yam,1.37,2103.1,25.3,6.79,Clay,29.7,No,No,Local,5.65
Akwa Ibom,Maize,0.61,1566.6,26.8,7.21,Clay,110.2,No,No,Local,1.99
FCT,Maize,3.71,1027.7,25.4,6.33,Loamy,126.2,Yes,No,Improved,2.67
Benue,Maize,0.75,1118.4,26,6.27,Clay,75.5,No,Yes,Improved,2.41
Enugu,Yam,1.15,2479.6,28.4,6.04,Loamy,95.9,No,No,Improved,6.34
Lagos,Sorghum,7.06,1766.5,23.1,6.23,Loamy,0,Yes,No,Local,0.89
Enugu,Yam,7.17,2416.3,25.8,6.31,Clay,117.6,No,No,Improved,8.27
Yobe,Cassava,2.93,577.9,36.6,6.82,Sandy,162.8,Yes,No,Local,6.13
Nasarawa,Rice,0.5,1391.3,30.4,6.02,Sandy,83.2,No,No,Improved,3.92
Lagos,Rice,0.88,2263.9,28.4,4.56,Loamy,133.6,Yes,Yes,Improved,4.38
Zamfara,Sorghum,0.69,733.5,34.1,6.19,Loamy,54.1,Yes,Yes,Improved,1.88
Katsina,Sorghum,1.51,521.2,37.4,6.59,Clay,113.2,No,No,Local,1.44
Katsina,Maize,0.35,535.3,34.9,6.92,Sandy,69.9,No,No,Local,2.05
Oyo,Maize,2.81,2497,29,6.32,Clay,125.5,Yes,No,Local,1.86
Abia,Sorghum,1.34,1698.2,29.3,5.81,Loamy,93.2,No,No,Local,0.83
Ekiti,Yam,1.4,2427.8,28.2,6.93,Loamy,154.1,No,No,Local,5.28
Borno,Cassava,0.58,584,37.8,6.27,Clay,109,No,No,Local,7.24
Kogi,Yam,2.07,1229.3,30.3,6.23,Clay,152.8,Yes,No,Improved,9.54
Kano,Maize,1.59,803.3,29.6,7.45,Clay,126.4,Yes,No,Improved,2.8
Kano,Rice,1.15,687.1,31.3,5.68,Sandy,187.5,Yes,No,Improved,3.15
Osun,Sorghum,1.5,1816.2,28.3,5.2,Loamy,163.9,No,No,Improved,1.05
Delta,Rice,3.96,2299.9,24.5,6.47,Loamy,124.7,Yes,No,Local,3.41
Bayelsa,Maize,0.78,2327.2,28.9,6.63,Clay,59.9,Yes,No,Improved,2.57
Anambra,Sorghum,3.04,2205.4,25.1,5.94,Loamy,73.8,Yes,No,Improved,1.85
Zamfara,Yam,5.53,996.1,27.3,5.69,Sandy,105.3,No,No,Local,6.86
Cross River,Maize,0.2,1732.9,24.3,6.8,Loamy,88.5,Yes,No,Improved,2.65
Enugu,Sorghum,2.11,1558.1,24.9,6.46,Loamy,82.3,No,No,Local,1.15
Katsina,Yam,1.4,436.2,33,5.38,Sandy,113.4,No,No,Local,4.21
Lagos,Rice,0.66,1807.5,26.8,6.18,Clay,117.6,No,No,Local,2.89
FCT,Sorghum,9,1481.6,30.3,6.5,Sandy,12.9,No,No,Improved,1.16
Imo,Sorghum,1.02,2250,24.8,5.1,Clay,39.2,No,No,Improved,1.44
Ekiti,Maize,2.23,2055.5,28.4,6.53,Sandy,52.6,Yes,Yes,Improved,2.34
Borno,Yam,5.51,595.8,36,5.57,Sandy,82.4,Yes,No,Improved,9.41
Lagos,Yam,14.8,2171.6,23.9,7.13,Sandy,83.8,No,No,Local,6.42
Lagos,Maize,1.74,1841.9,27.7,7.44,Loamy,106.5,Yes,No,Improved,2.17
Sokoto,Cassava,0.55,666.1,33,7.17,Sandy,113.5,Yes,No,Improved,12.05
Rivers,Yam,0.32,2252,26.3,5.94,Clay,35.4,No,No,Improved,9.37
Borno,Cassava,2.18,396.5,31.2,7.67,Sandy,105.5,No,No,Local,8.59
Gombe,Yam,5.75,961,33.1,6.55,Sandy,81.6,No,No,Local,7.92
Delta,Maize,1.24,1541.1,24,5.36,Clay,164.5,Yes,Yes,Local,2.76
Taraba,Cassava,2.81,1151,27.2,5.99,Loamy,48.6,Yes,No,Local,7.41
Oyo,Sorghum,0.39,2341.2,24.1,4.4,Clay,23.1,Yes,No,Improved,1.12
Abia,Sorghum,1.72,1650.5,22.4,6.19,Clay,91.1,Yes,Yes,Improved,1.92
Bauchi,Rice,2.37,939.8,26,7.26,Loamy,95.1,No,No,Improved,2.85
Bayelsa,Yam,2.22,1861.5,28.5,6.45,Clay,150,No,No,Local,7.69
Plateau,Maize,5.07,1082.7,29.8,7.21,Clay,130.2,No,Yes,Local,2.1
Enugu,Rice,3.34,2491.8,22,7.26,Clay,110.5,No,No,Local,2.11
Edo,Maize,1.34,2094.6,24.4,4.75,Loamy,159.8,Yes,No,Local,1.71
FCT,Cassava,0.49,1338.8,29.8,5.91,Clay,77.2,No,Yes,Improved,13.21
Cross River,Maize,0.54,2389.7,25.2,6.19,Loamy,100.8,Yes,No,Improved,2.21
Rivers,Sorghum,0.2,2378.4,25,6.85,Loamy,75.8,No,Yes,Improved,1.49
Benue,Maize,1.54,1102.2,29.9,7.33,Loamy,190.1,No,No,Local,2.69
Plateau,Rice,1.53,1300.9,31.5,6.64,Clay,121.1,Yes,No,Improved,2.92
Edo,Cassava,3.15,1598.9,28,5.51,Sandy,36.3,No,No,Local,8.45
Jigawa,Yam,1.22,561,33,5.99,Sandy,95.9,No,No,Improved,7.55
Osun,Maize,0.32,1637.8,24.4,4.25,Loamy,86.7,No,No,Local,1.75
Kogi,Rice,1.64,1367.6,26.4,6.27,Loamy,104.1,Yes,No,Local,3.12
Plateau,Cassava,0.85,1423.2,25.4,6.39,Loamy,129.5,No,No,Local,9.09
Kwara,Cassava,1.28,1080.6,31.5,5.6,Sandy,165.3,No,No,Local,7.74
Kebbi,Yam,0.53,792.8,34.6,6.41,Sandy,96.5,Yes,Yes,Improved,12.07
Sokoto,Rice,2.11,460.2,33.3,4,Sandy,0,No,No,Improved,1.95
Cross River,Cassava,6.39,2294.5,27,6.29,Loamy,95.2,No,No,Local,6.98
Rivers,Maize,1.82,1958.3,23,5.93,Clay,144.7,Yes,No,Local,1.96
Sokoto,Rice,2.09,680,31.4,6.51,Sandy,135.3,No,No,Improved,3.6
Delta,Sorghum,1.35,1802.5,29.6,6.92,Clay,74.1,No,No,Improved,1.66
Plateau,Cassava,2.73,1204.1,27.5,6.24,Loamy,75,No,Yes,Local,11.9
Cross River,Yam,1.1,1746.7,27.3,5.81,Clay,124.8,No,No,Local,8.4
Anambra,Yam,4.34,2110.1,24,6.73,Loamy,108.1,No,Yes,Local,8.14
